radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,5066,3742,0,34.71199036,0.046005249,1000,1,1,1468058713,1468035204,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
UMTS,639,2,46016,137731757,0,34.70924377,0.036392212,1000,4,1,1468183757,1468164440,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,7,14207,1273,0,34.675369,0.051041,10456,3,1,1468440224,1488861626,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
GSM,639,7,14217,211,0,34.58152771,0.056991577,1000,1,1,1469117091,1469088468,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137735676,0,34.60212708,0.011672974,1000,1,1,1469118386,1469088468,0,Vihiga,Luanda Sub County,Emabungo Ward
UMTS,639,2,46016,137734036,0,34.57054138,0.083084106,1000,1,1,1469118385,1469088468,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137737796,0,34.582901,0.032272339,1000,1,1,1469118386,1469088466,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,6662,0,34.588394,0.023575,1000,3,1,1469118579,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5119,661,0,34.57054138,0.081710815,1000,1,1,1469118579,1469088468,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,852,0,34.58152771,0.056991577,1000,1,1,1469387287,1469365705,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,855,0,34.58152771,0.056991577,1000,1,1,1469708691,1469676448,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5009,622,0,34.628677,0.038223,5643,3,1,1469708691,1483391100,0,Vihiga,Luanda Sub County,Emabungo Ward
GSM,639,7,14217,1281,0,34.657745,0.032272,8910,2,1,1469713419,1488861620,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,2,5067,851,0,34.623516,0.062015,4699,2,1,1469839016,1509944355,0,Vihiga,Luanda Sub County,Wemilabi Ward
GSM,639,2,5067,6661,0,34.598923,0.01442,1130,3,1,1469979445,1485437188,0,Vihiga,Luanda Sub County,Emabungo Ward
GSM,639,2,5006,1861,0,34.57740784,0.095443726,1000,1,1,1471082726,1471059539,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137750687,0,34.722061,0.066147,1000,3,1,1471201519,1473299226,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
UMTS,639,2,46016,137750691,0,34.721603,0.067978,1000,2,1,1471201519,1473299226,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
UMTS,639,2,46016,137731977,0,34.72297668,0.062484741,1000,1,1,1471201519,1471178519,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,3,64,20410,0,34.633026,0.125656,1224,2,1,1471603421,1491637605,0,Vihiga,Emuhaya Sub County,Central Bunyore Ward
GSM,639,3,64,32006,0,34.62547302,0.118789673,1000,1,1,1471603421,1471579048,0,Vihiga,Emuhaya Sub County,Central Bunyore Ward
UMTS,639,2,5503,150839820,0,34.832497,0.055275,12152,4,1,1471900305,1491016783,0,Vihiga,Hamisi Sub County,Banja Ward
GSM,639,2,5009,621,0,34.723434,0.0634,1000,3,1,1472195162,1488861620,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5066,3905,0,34.722977,0.067291,1000,2,1,1472195162,1473299254,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
UMTS,639,2,46016,137738906,0,34.723663,0.056992,1000,2,1,1472195383,1473299226,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
